id,noTrans,paidType,cardInit,cardName,cardNumber,totalpaid,MachineName,CompanyCharge,CustomerCharge,ReffNo,ProgressiveDisc
62896,01SCS19E150058,BANK TRANSFER,-,-,-,270000,-,0,0,-,0
60634,01SCS19E010001,CASH,-,-,-,335000,-,0,0,-,0
60635,01SCS19E010002,CASH,-,-,-,94500,-,0,0,-,0
60638,01SCS19E010005,CASH,-,-,-,252000,-,0,0,-,0
60639,01SCS19E010006,CASH,-,-,-,94500,-,0,0,-,0
60640,01SCS19E010007,CASH,-,-,-,94500,-,0,0,-,0
60641,01SCS19E010008,CASH,-,-,-,143200,-,0,0,-,0
60642,01SCS19E010009,CASH,-,-,-,112000,-,0,0,-,0
60643,01SCS19E010010,CASH,-,-,-,147000,-,0,0,-,0
60644,01SCS19E010011,CASH,-,-,-,220500,-,0,0,-,0
60645,01SCS19E010012,CASH,-,-,-,496800,-,0,0,-,0
60646,01SCS19E010013,CASH,-,-,-,134000,-,0,0,-,0
60647,01SCS19E010014,CASH,-,-,-,129500,-,0,0,-,0
60648,01SCS19E010015,CASH,-,-,-,368000,-,0,0,-,0
60650,01SCS19E010017,CASH,-,-,-,314300,-,0,0,-,0
60651,01SCS19E010018,CASH,-,-,-,245000,-,0,0,-,0
60652,01SCS19E010019,CASH,-,-,-,52500,-,0,0,-,0
60653,01SCS19E010020,CASH,-,-,-,94500,-,0,0,-,0
60654,01SCS19E010021,CASH,-,-,-,98000,-,0,0,-,0
60655,01SCS19E010022,CASH,-,-,-,340200,-,0,0,-,0
60657,01SCS19E010024,CASH,-,-,-,175000,-,0,0,-,0
60658,01SCS19E010025,CASH,-,-,-,94500,-,0,0,-,0
60659,01SCS19E010026,CASH,-,-,-,287000,-,0,0,-,0
60660,01SCS19E010027,CASH,-,-,-,220500,-,0,0,-,0
60661,01SCS19E010028,CASH,-,-,-,160000,-,0,0,-,0
60663,01SCS19E010030,CASH,-,-,-,50000,-,0,0,-,0
60664,01SCS19E010031,CASH,-,-,-,94500,-,0,0,-,0
60665,01SCS19E010032,CASH,-,-,-,189000,-,0,0,-,0
60666,01SCS19E010033,CASH,-,-,-,94500,-,0,0,-,0
60667,01SCS19E010034,CASH,-,-,-,220500,-,0,0,-,0
60669,01SCS19E010036,CASH,-,-,-,98000,-,0,0,-,0
60671,01SCS19E010038,CASH,-,-,-,98000,-,0,0,-,0
60672,01SCS19E010039,CASH,-,-,-,189000,-,0,0,-,0
60673,01SCS19E010040,CASH,-,-,-,220500,-,0,0,-,0
60674,01SCS19E010041,CASH,-,-,-,120000,-,0,0,-,0
60675,01SCS19E010042,CASH,-,-,-,220500,-,0,0,-,0
60676,01SCS19E010043,CASH,-,-,-,108000,-,0,0,-,0
60677,01SCS19E010044,CASH,-,-,-,227300,-,0,0,-,0
60678,01SCS19E010045,CASH,-,-,-,124000,-,0,0,-,0
60679,01SCS19E010046,CASH,-,-,-,94500,-,0,0,-,0
60680,01SCS19E010047,CASH,-,-,-,135000,-,0,0,-,0
60681,01SCS19E010048,CASH,-,-,-,116000,-,0,0,-,0
60682,01SCS19E010049,CASH,-,-,-,315000,-,0,0,-,0
60683,01SCS19E010050,CASH,-,-,-,154000,-,0,0,-,0
60684,01SCS19E010051,CASH,-,-,-,94500,-,0,0,-,0
60685,01SCS19E010052,CASH,-,-,-,67500,-,0,0,-,0
60686,01SCS19E010053,CASH,-,-,-,154000,-,0,0,-,0
60687,01SCS19E010054,CASH,-,-,-,236000,-,0,0,-,0
60688,01SCS19E010055,CASH,-,-,-,178500,-,0,0,-,0
60690,01SCS19E010057,CASH,-,-,-,300000,-,0,0,-,0
